id,english_expression,key_expression,korean_translation,category,source
1,Just leave it here for now.,for now,일단은 여기 놔둬.,Idioms & Patterns,redhat
2,"For the most part, the meeting went smoothly.",For the most part,대부분은 회의가 순조롭게 진행됐어.,Meetings,redhat
3,That's pretty good for a first try.,for a first try,첫 시도치고는 꽤 잘했는데.,Idioms & Patterns,redhat
4,It's not like I have a choice.,It's not like,내가 선택권이 있는 것도 아니잖아.,Idioms & Patterns,redhat
5,"It's a bit small, but otherwise it's perfect.",otherwise,조금 작긴 한데 그 외에는 완벽해.,Idioms & Patterns,redhat
6,Let me go over the plan one more time.,go over,계획을 한 번 더 살펴볼게.,Meetings,redhat
7,Make sure you lock the door.,Make sure,문 꼭 잠가.,Idioms & Patterns,redhat
8,It's hard to keep up with the news these days.,keep up with,요즘 뉴스를 다 따라가기가 힘들어.,Idioms & Patterns,redhat
9,I keep track of my expenses in a notebook.,keep track of,나는 공책에 지출을 기록해.,Idioms & Patterns,redhat
10,"It's about trust, not money.",It's about,중요한 건 돈이 아니라 신뢰야.,Idioms & Patterns,redhat
11,She does a good job of explaining things.,does a good job of explaining,그녀는 설명을 정말 잘해.,Idioms & Patterns,redhat
12,Let's make use of the time we have.,make use of,우리한테 있는 시간을 활용하자.,Idioms & Patterns,redhat
13,I ate a week's worth of snacks in one day.,worth of,하루에 일주일치 과자를 다 먹어버렸어.,Idioms & Patterns,redhat
14,It depends on the weather.,depends on,날씨에 달려 있어.,Daily Life,redhat
15,"On some level, I knew it wasn't going to work.",On some level,어느 정도는 잘 안 될 거라는 걸 알고 있었어.,Idioms & Patterns,redhat
16,There's a part of me that wants to quit.,There's a part of me that,그냥 그만두고 싶다는 마음이 드는 부분도 있어.,Idioms & Patterns,redhat
17,It's one of those things you just have to accept.,one of those,그냥 받아들여야 하는 것 중 하나야.,Idioms & Patterns,redhat
18,The experience was valuable in and of itself.,in and of itself,그 경험 자체만으로도 충분히 가치가 있었어.,Idioms & Patterns,redhat
19,Let's eat at home for a change.,for a change,기분 전환 삼아 집에서 먹자.,Social,redhat
20,"I didn't think he could pull it off, but he did.",pull it off,해낼 수 있을 거라 생각 못 했는데 해냈어.,Idioms & Patterns,redhat
21,You're just the person I wanted to see.,just the,딱 네가 보고 싶었어.,Idioms & Patterns,redhat
22,This is the very reason I left.,the very reason,이게 바로 내가 떠난 이유야.,Idioms & Patterns,redhat
23,Do you happen to know his number?,happen to,혹시 그 사람 번호 알아?,Idioms & Patterns,redhat
24,I didn't realize it until it was too late.,until,너무 늦고 나서야 깨달았어.,Idioms & Patterns,redhat
25,I was about to ask the same thing.,was about to,나도 막 그걸 물어보려던 참이었어.,Idioms & Patterns,redhat
26,I'll have someone look into it.,have someone look into it,누군가한테 알아보게 할게.,Idioms & Patterns,redhat
27,"We're already here, we might as well stay.",might as well,이왕 온 거 그냥 있자.,Idioms & Patterns,redhat
28,I would double-check before sending it.,double-check,보내기 전에 다시 한번 확인하는 게 좋을 것 같아.,Idioms & Patterns,redhat
29,I've been meaning to tell you something.,I've been meaning to,너한테 하려던 말이 있었어.,Idioms & Patterns,redhat
30,I got caught up in work and forgot to eat.,got caught up in,일에 빠져서 밥 먹는 걸 깜빡했어.,Idioms & Patterns,redhat
31,"Call him. Or better yet, go see him in person.",Or better yet,"전화해. 아니면 더 좋은 건, 직접 가서 봐.",Idioms & Patterns,redhat
32,"I hate to say it, but you were right.",I hate to say it,"이런 말 하기 싫지만, 네가 맞았어.",Emotions & Opinions,redhat
33,"I know it's a lot to ask, but can you cover for me?",I know it's a lot to ask,"많이 부탁하는 거 알지만, 나 대신해줄 수 있어?",Idioms & Patterns,redhat
34,I can't help laughing every time I see it.,can't help,볼 때마다 웃음이 나오는 걸 어쩔 수가 없어.,Idioms & Patterns,redhat
35,Is the place still open? Not that I know of.,Not that I know of,거기 아직 열어? 내가 아는 한은 아닌 것 같은데.,Idioms & Patterns,redhat
36,I'm having second thoughts about moving.,having second thoughts,이사하는 게 맞나 다시 고민이 돼.,Idioms & Patterns,redhat
37,"Whenever you need help, just say the word.",just say the word,도움이 필요하면 언제든지 말만 해.,Idioms & Patterns,redhat
38,"Just so you know, the meeting was moved to Friday.",Just so you know,"참고로, 회의가 금요일로 옮겨졌어.",Meetings,redhat
39,Traffic was terrible. You know how it is.,You know how it is,차가 너무 막혔어. 뭐 다 그렇잖아.,Daily Life,redhat
40,"At the end of the day, what matters is your health.",At the end of the day,"결국에는, 건강이 제일 중요한 거야.",Idioms & Patterns,redhat
41,"It's a big deal for her, so let's be supportive.",big deal,"그녀한테는 중요한 일이니까, 우리가 응원해주자.",Idioms & Patterns,redhat
42,I'll get around to cleaning my room this weekend.,get around to,이번 주말에는 방 청소할 시간을 낼 거야.,Idioms & Patterns,redhat
43,"Exactly, I was going to say the same thing.",I was going to say,"맞아, 나도 똑같이 말하려고 했어.",Idioms & Patterns,redhat
44,"I hate going to the dentist, but let's just get it over with.",get it over with,"치과 가는 거 싫지만, 그냥 끝내버리자.",Emotions & Opinions,redhat
45,"If it makes you feel any better, everyone makes mistakes.",If it makes you feel any better,"위로가 될지 모르겠지만, 다들 실수는 해.",Emotions & Opinions,redhat
46,I can only wait so long.,can only,나도 마냥 기다릴 수는 없어.,Idioms & Patterns,redhat
47,"For all I know, he already left.",For all I know,"내가 아는 한, 그는 이미 떠났을 수도 있어.",Idioms & Patterns,redhat
48,"When it comes to cooking, she's amazing.",When it comes to,"요리에 관해서라면, 그녀는 정말 대단해.",Idioms & Patterns,redhat
49,I feel bad for him. He's going through a lot.,feel bad for,그 사람이 안됐어. 요즘 힘든 일이 많잖아.,Emotions & Opinions,redhat
50,"Stop distracting me, I'm trying to focus.",distract,"방해하지 마, 집중하려고.",Idioms & Patterns,redhat
51,I think stress has something to do with it.,has something to do with,스트레스가 그것과 관련이 있는 것 같아.,Idioms & Patterns,redhat
52,He has a way with words.,has a way with,그는 말을 정말 잘해.,Idioms & Patterns,redhat
53,There's something about this place that feels familiar.,There's something about this place that,이 장소엔 왠지 익숙한 느낌이 있어.,Idioms & Patterns,redhat
54,I thought you would have finished by now.,thought you would have finished by now,지금쯤이면 다 끝냈을 줄 알았어.,Idioms & Patterns,redhat
55,Just tell me now and save me the trouble.,save me the trouble,지금 말해줘. 나중에 수고하지 않게.,Idioms & Patterns,redhat
56,It wouldn't hurt to get a second opinion.,wouldn't hurt,다른 의견을 들어보는 것도 나쁘지 않아.,Idioms & Patterns,redhat
57,I could use a break right now.,could use,지금 당장 좀 쉬었으면 좋겠어.,Idioms & Patterns,redhat
58,The test wasn't as bad as I expected.,not as bad as,시험이 예상했던 것만큼 나쁘지는 않았어.,Idioms & Patterns,redhat
59,We haven't talked in a while. How are you?,haven't talked in a while,한동안 얘기를 못 했네. 잘 지냈어?,Idioms & Patterns,redhat
60,I couldn't care less what people say about me.,couldn't care less,사람들이 나에 대해 뭐라고 하든 전혀 상관없어.,Idioms & Patterns,redhat
61,I recommend that you see a specialist.,recommend,전문가한테 한번 가보시길 추천드려요.,Idioms & Patterns,redhat
62,"Apparently, they're getting married next month.",Apparently,"듣자 하니, 걔네 다음 달에 결혼한대.",Idioms & Patterns,redhat
63,"As far as I know, the store closes at 9.",As far as I know,"내가 알기로는, 그 가게 9시에 닫아.",Idioms & Patterns,redhat
64,It's hard for me to say no to people.,It's hard for me to,나는 사람들한테 거절하기가 힘들어.,Idioms & Patterns,redhat
65,I've been looking for my keys all morning.,looking for,아침부터 열쇠를 계속 찾고 있어.,Idioms & Patterns,redhat
66,I completely panicked when I forgot my lines.,panic,대사를 잊어버렸을 때 완전히 당황했어.,Idioms & Patterns,redhat
67,I'm really looking forward to the weekend.,looking forward to,이번 주말이 정말 기대돼.,Idioms & Patterns,redhat
68,It's my first time trying sushi.,first time trying,초밥은 처음 먹어보는 거야.,Idioms & Patterns,redhat
69,She offered to drive me home.,offer,그녀가 집까지 데려다주겠다고 했어.,Idioms & Patterns,redhat
70,I found out about it through a friend.,found out,친구를 통해서 알게 됐어.,Idioms & Patterns,redhat
71,Look who's back!,Look who's,돌아왔네!,Daily Life,miracle
72,Don't mention it. It was nothing.,Don't mention it,별말을. 아무것도 아니야.,Daily Life,miracle
73,What's the traffic like right now?,What's the traffic like,지금 교통 상황이 어때?,Daily Life,miracle
74,Care for some tea?,Care for some,차 한잔 할래?,Daily Life,miracle
75,Look on the bright side — at least you tried.,Look on the bright side,긍정적으로 생각해 — 적어도 시도는 했잖아.,Daily Life,miracle
76,What do you mean by that?,What do you mean,그게 무슨 말이야?,Daily Life,miracle
77,Can you give me a hand with this box?,Can you give me a hand,이 상자 좀 도와줄 수 있어?,Daily Life,miracle
78,Want to come along for the ride?,Want to come along,같이 가볼래?,Daily Life,miracle
79,This is getting out of hand.,getting out of hand,이건 감당이 안 되네.,Daily Life,miracle
80,That joke crossed the line.,crossed the line,그 농담은 너무 심했어.,Daily Life,miracle
81,I had to call in sick this morning.,in sick,오늘 아침에 병가를 내야 했어.,Daily Life,miracle
82,What's up with your attitude today?,What's up with,오늘 태도가 왜 그래?,Daily Life,miracle
83,This is absolutely ridiculous.,This is absolutely ridiculous,이건 정말 말도 안 돼.,Daily Life,miracle
84,I'm booked solid all this week.,I'm booked solid,이번 주 내내 일정이 꽉 찼어.,Daily Life,miracle
